['INFO ]2023-07-03 16:43:14,897(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends invalid python code from excel sheet
['INFO ]2023-07-03 16:43:14,986(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:14,986(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button
['INFO ]2023-07-03 16:43:15,124(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user checks alert message and navigates back
['INFO ]2023-07-03 16:43:16,152(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-tryhere button
['INFO ]2023-07-03 16:43:16,152(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks on array using list submodule and tryhere button
['INFO ]2023-07-03 16:43:16,553(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends valid python code from excel sheet
['INFO ]2023-07-03 16:43:16,982(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:17,267(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button and checks output
['INFO ]2023-07-03 16:43:17,371(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-clearing the tryEditor for Array practice questions
['INFO ]2023-07-03 16:43:17,452(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends invalid python code from excel sheet
['INFO ]2023-07-03 16:43:17,528(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:17,528(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button
['INFO ]2023-07-03 16:43:17,696(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user checks alert message and navigates back
['INFO ]2023-07-03 16:43:18,695(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-tryhere button
['INFO ]2023-07-03 16:43:18,696(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks on Basic operations in list and clicks tryhere button
['INFO ]2023-07-03 16:43:19,109(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends valid python code from excel sheet
['INFO ]2023-07-03 16:43:19,592(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:19,826(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button and checks output
['INFO ]2023-07-03 16:43:19,879(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-clearing the tryEditor for Array practice questions
['INFO ]2023-07-03 16:43:19,943(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends invalid python code from excel sheet
['INFO ]2023-07-03 16:43:20,014(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:20,014(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button
['INFO ]2023-07-03 16:43:20,095(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user checks alert message and navigates back
['INFO ]2023-07-03 16:43:21,173(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-tryhere button
['INFO ]2023-07-03 16:43:21,174(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks on Application of array and clicks tryhere button
['INFO ]2023-07-03 16:43:21,607(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends valid python code from excel sheet
['INFO ]2023-07-03 16:43:22,047(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:22,285(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button and checks output
['INFO ]2023-07-03 16:43:22,335(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-clearing the tryEditor for Array practice questions
['INFO ]2023-07-03 16:43:22,380(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends invalid python code from excel sheet
['INFO ]2023-07-03 16:43:22,450(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:22,450(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button
['INFO ]2023-07-03 16:43:22,590(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user checks alert message and navigates back
